VoltAvg,SOCAvg,Unix TimeStamp
3.5865,76.999,1598935775338
4.00121,85.461,1598935775359
4.05262,85.531,1598935775380
4.03178,85.498,1598935775401
3.82901,85.386,1598935775423
3.76756,85.229,1598935775444
4.07154,85.205,1598935775467
3.83252,85.167,1598935775488
3.77523,85.014,1598935775509
4.04377,84.989,1598935775530
4.06382,84.979,1598935775551
3.99148,84.984,1598935775572
3.97281,84.867,1598935775593
4.03264,84.821,1598935775614
3.84226,84.729,1598935775635
4.00777,84.594,1598935775656
4.02311,84.465,1598935775677
3.92924,84.468,1598935775698
3.71871,84.323,1598935775719
3.70238,84.167,1598935775740
1.54706,33.632,1598935775761
